AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT
Advisory Neighborhood Commission,2009-02-28 00:00:00+00:00,93.43
Advisory Neighborhood Commission,2009-03-31 00:00:00+00:00,53.57
Advisory Neighborhood Commission,2009-04-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2009-05-31 00:00:00+00:00,96.74
Advisory Neighborhood Commission,2009-06-30 00:00:00+00:00,12.26
Advisory Neighborhood Commission,2009-07-31 00:00:00+00:00,182.14749999999998
Advisory Neighborhood Commission,2009-08-31 00:00:00+00:00,76.78
Advisory Neighborhood Commission,2009-09-30 00:00:00+00:00,20.476666666666663
Advisory Neighborhood Commission,2009-10-31 00:00:00+00:00,10.995000000000001
Advisory Neighborhood Commission,2009-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2009-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-02-28 00:00:00+00:00,119.35499999999999
Advisory Neighborhood Commission,2010-03-31 00:00:00+00:00,22.28
Advisory Neighborhood Commission,2010-04-30 00:00:00+00:00,10.0
Advisory Neighborhood Commission,2010-05-31 00:00:00+00:00,459.54
Advisory Neighborhood Commission,2010-06-30 00:00:00+00:00,181.98
Advisory Neighborhood Commission,2010-07-31 00:00:00+00:00,111.43800000000002
Advisory Neighborhood Commission,2010-08-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-09-30 00:00:00+00:00,151.31125
Advisory Neighborhood Commission,2010-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-11-30 00:00:00+00:00,38.64
Advisory Neighborhood Commission,2010-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-01-31 00:00:00+00:00,14.46
Advisory Neighborhood Commission,2011-02-28 00:00:00+00:00,56.82
Advisory Neighborhood Commission,2011-03-31 00:00:00+00:00,18.98
Advisory Neighborhood Commission,2011-04-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-06-30 00:00:00+00:00,87.17500000000001
Advisory Neighborhood Commission,2011-07-31 00:00:00+00:00,83.4
Advisory Neighborhood Commission,2011-08-31 00:00:00+00:00,3.99
Advisory Neighborhood Commission,2011-09-30 00:00:00+00:00,41.123333333333335
Advisory Neighborhood Commission,2011-10-31 00:00:00+00:00,408.49
Advisory Neighborhood Commission,2011-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2012-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2012-02-29 00:00:00+00:00,40.24
Advisory Neighborhood Commission,2012-03-31 00:00:00+00:00,106.59666666666668
Advisory Neighborhood Commission,2012-04-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2012-05-31 00:00:00+00:00,34.49
Advisory Neighborhood Commission,2012-06-30 00:00:00+00:00,54.230000000000004
Advisory Neighborhood Commission,2012-07-31 00:00:00+00:00,107.4
Advisory Neighborhood Commission,2012-08-31 00:00:00+00:00,174.03666666666666
Advisory Neighborhood Commission,2012-09-30 00:00:00+00:00,483.6475
Advisory Neighborhood Commission,2012-10-31 00:00:00+00:00,11.99
Advisory Neighborhood Commission,2012-11-30 00:00:00+00:00,20.8
Advisory Neighborhood Commission,2012-12-31 00:00:00+00:00,270.74
Advisory Neighborhood Commission,2013-01-31 00:00:00+00:00,9.99
Advisory Neighborhood Commission,2013-02-28 00:00:00+00:00,26.36
Advisory Neighborhood Commission,2013-03-31 00:00:00+00:00,27.98
Advisory Neighborhood Commission,2013-04-30 00:00:00+00:00,67.99
Advisory Neighborhood Commission,2013-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2013-06-30 00:00:00+00:00,61.934999999999995
Advisory Neighborhood Commission,2013-07-31 00:00:00+00:00,98.365
Advisory Neighborhood Commission,2013-08-31 00:00:00+00:00,77.88
Advisory Neighborhood Commission,2013-09-30 00:00:00+00:00,297.435
Advisory Neighborhood Commission,2013-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2013-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2013-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-03-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-04-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-06-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-08-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-09-30 00:00:00+00:00,305.54
Advisory Neighborhood Commission,2014-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2014-12-31 00:00:00+00:00,632.495
Advisory Neighborhood Commission,2015-01-31 00:00:00+00:00,69.33
Advisory Neighborhood Commission,2015-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-03-31 00:00:00+00:00,14.99
Advisory Neighborhood Commission,2015-04-30 00:00:00+00:00,143.88
Advisory Neighborhood Commission,2015-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-06-30 00:00:00+00:00,198.57
Advisory Neighborhood Commission,2015-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-08-31 00:00:00+00:00,91.57499999999999
Advisory Neighborhood Commission,2015-09-30 00:00:00+00:00,251.95250000000001
Advisory Neighborhood Commission,2015-10-31 00:00:00+00:00,176.99
Advisory Neighborhood Commission,2015-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2015-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-02-29 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-03-31 00:00:00+00:00,14.37
Advisory Neighborhood Commission,2016-04-30 00:00:00+00:00,100.45
Advisory Neighborhood Commission,2016-05-31 00:00:00+00:00,37.08
Advisory Neighborhood Commission,2016-06-30 00:00:00+00:00,27.41
Advisory Neighborhood Commission,2016-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2016-08-31 00:00:00+00:00,59.699999999999996
Advisory Neighborhood Commission,2016-09-30 00:00:00+00:00,328.06600000000003
Advisory Neighborhood Commission,2016-10-31 00:00:00+00:00,53.94
Advisory Neighborhood Commission,2016-11-30 00:00:00+00:00,18.165
Advisory Neighborhood Commission,2016-12-31 00:00:00+00:00,646.6166666666667
Advisory Neighborhood Commission,2017-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-03-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-04-30 00:00:00+00:00,155.88
Advisory Neighborhood Commission,2017-05-31 00:00:00+00:00,8.413333333333334
Advisory Neighborhood Commission,2017-06-30 00:00:00+00:00,120.19
Advisory Neighborhood Commission,2017-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-08-31 00:00:00+00:00,353.94
Advisory Neighborhood Commission,2017-09-30 00:00:00+00:00,27.986666666666665
Advisory Neighborhood Commission,2017-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2017-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-03-31 00:00:00+00:00,252.27500000000003
Advisory Neighborhood Commission,2018-04-30 00:00:00+00:00,85.41499999999999
Advisory Neighborhood Commission,2018-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-06-30 00:00:00+00:00,14.95
Advisory Neighborhood Commission,2018-07-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-08-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2018-09-30 00:00:00+00:00,788.1879999999999
Advisory Neighborhood Commission,2018-10-31 00:00:00+00:00,-25.69999999999999
Advisory Neighborhood Commission,2018-11-30 00:00:00+00:00,95.55499999999999
Advisory Neighborhood Commission,2018-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-01-31 00:00:00+00:00,28.225
Advisory Neighborhood Commission,2019-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2019-03-31 00:00:00+00:00,135.595
Advisory Neighborhood Commission,2019-04-30 00:00:00+00:00,79.49
Advisory Neighborhood Commission,2019-05-31 00:00:00+00:00,16.99
Advisory Neighborhood Commission,2019-06-30 00:00:00+00:00,47.88
Advisory Neighborhood Commission,2019-07-31 00:00:00+00:00,73.5
Advisory Neighborhood Commission,2019-08-31 00:00:00+00:00,46.724999999999994
Advisory Neighborhood Commission,2019-09-30 00:00:00+00:00,776.515
Advisory Neighborhood Commission,2019-10-31 00:00:00+00:00,0.0
