AGENCY,TRANSACTION_DATE,Diff
Advisory Neighborhood Commission,2009-02-28 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2009-03-31 00:00:00+00:00,-39.86000000000001
Advisory Neighborhood Commission,2009-04-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2009-05-31 00:00:00+00:00,43.169999999999995
Advisory Neighborhood Commission,2009-06-30 00:00:00+00:00,-84.47999999999999
Advisory Neighborhood Commission,2009-07-31 00:00:00+00:00,11.784999999999995
Advisory Neighborhood Commission,2009-08-31 00:00:00+00:00,5.654999999999998
Advisory Neighborhood Commission,2009-09-30 00:00:00+00:00,-13.07333333333333
Advisory Neighborhood Commission,2009-10-31 00:00:00+00:00,-10.495000000000001
Advisory Neighborhood Commission,2009-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2009-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-02-28 00:00:00+00:00,74.375
Advisory Neighborhood Commission,2010-03-31 00:00:00+00:00,-136.97
Advisory Neighborhood Commission,2010-04-30 00:00:00+00:00,-12.280000000000001
Advisory Neighborhood Commission,2010-05-31 00:00:00+00:00,449.54
Advisory Neighborhood Commission,2010-06-30 00:00:00+00:00,-277.56000000000006
Advisory Neighborhood Commission,2010-07-31 00:00:00+00:00,-24.51599999999999
Advisory Neighborhood Commission,2010-08-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-09-30 00:00:00+00:00,-1.1762500000000102
Advisory Neighborhood Commission,2010-10-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2010-11-30 00:00:00+00:00,-11.350000000000001
Advisory Neighborhood Commission,2010-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-01-31 00:00:00+00:00,-13.600000000000001
Advisory Neighborhood Commission,2011-02-28 00:00:00+00:00,4.274999999999999
Advisory Neighborhood Commission,2011-03-31 00:00:00+00:00,-1.009999999999998
Advisory Neighborhood Commission,2011-04-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-05-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-06-30 00:00:00+00:00,22.105000000000008
Advisory Neighborhood Commission,2011-07-31 00:00:00+00:00,-24.0
Advisory Neighborhood Commission,2011-08-31 00:00:00+00:00,-79.41000000000001
Advisory Neighborhood Commission,2011-09-30 00:00:00+00:00,15.333333333333334
Advisory Neighborhood Commission,2011-10-31 00:00:00+00:00,33.5
Advisory Neighborhood Commission,2011-11-30 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2011-12-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2012-01-31 00:00:00+00:00,0.0
Advisory Neighborhood Commission,2012-02-29 00:00:00+00:00,-9.289999999999997
