,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION
0,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
1,BRANCH SUPPLY,DC,"Stationery,Office&SchoolSupplyStores"
2,VIDEO MONITORING SRVCS,NY,MotionPictures/VideoTapeProduction&Distribution
3,STAPLES       00102186,DC,"Stationery,OfficeSupplies,Printing/WritingPaper"
4,FAITH MGMT CONSULTING,DC,"Stationery,Office&SchoolSupplyStores"
5,"20/20 GENESYSTEMS, INC",MD,BusinessServicesNotElsewhereClassified
6,FEDERAL RESOURCES SUPP,MD,ProfessionalServicesNotElsewhereDefined
7,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
8,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
9,WW GRAINGER 912,DC,"IndustrialSupplies,NotElsewhereClassified"
10,LABSAFE*1012701432,WI,GeneralMerchandise
11,QUEENSTOWN MOTOR-PARTS,MD,Automobile&TruckDealer-New&Used
12,UDC BOOKSTORE-FOLLET #,DC,BookStores
13,SHRM ORG,VA,"MembershipOrganizations,NotElsewhereClassified"
14,SYDAR PRINTING CORP,MD,"Quick-Copy,ReproductionandBlueprintingServices"
15,DCBIA,DC,"MembershipOrganizations,NotElsewhereClassified"
16,STAPLES       00101592,VA,"Stationery,OfficeSupplies,Printing/WritingPaper"
17,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
18,MVS INC-CREDIT MVS,DC,"Computers,ComputerPeripheralEquipment,Software"
19,DRI*WWW.ELEMENT5.INFO,MN,ComputerSoftwareStores
20,CAPITAL SERVICES AND S,DC,OfficeandCommercialFurniture
21,BERLITZ  721,DC,"EducationalServices,NotElsewhereClassified"
22,DWE*DWELL MAGAZINE,CA,"Books,PeriodicalsAndNewspapers"
23,ABLE REPORTING,MD,ProfessionalServicesNotElsewhereDefined
24,AMAZON.COM,WA,BookStores
25,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
26,HOTEL ROUGE,DC,Hotels-Lodging(NotListedElsewhere)
27,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
28,"NEAL R. GROSS & CO., I",DC,BusinessServicesNotElsewhereClassified
29,CHAMPION TROPHIES INC,DC,SpecialtyRetailStores-Miscellaneous
30,COLLIFLOWER INC - 03,MD,BusinessServicesNotElsewhereClassified
31,GEM SPECIALTIES INC,MD,HardwareStores
32,COLLIFLOWER INC - 03,MD,BusinessServicesNotElsewhereClassified
33,HI-TECH ELECTRIC LLC,CA,ElectricalContractors
34,BRENTWORKS INC,DC,"CommercialPhotography,Art&Graphics"
35,METROPOLITAN OFFICE PR,MD,"Stationery,OfficeSupplies,Printing/WritingPaper"
36,NATIONAL MAILING SYSTE,VA,DirectMarketing-Comb.Catalog&RetailMerchants
37,LASON INC,MI,DirectMarketing-NotElsewhereClassified
38,VIRGINIA NEUROSURGEONS,VA,Doctors(NotElsewhereClassified)
39,BRODART SUPPLIES,PA,BookStores
40,AIRTRANAI 33200598500760,GA,MesabaAviation
41,GAYLORD PALM HOTEL-FL,FL,NewEsplanadeHotel
42,ORB AP270101ZLMJVC09,IL,TravelAgenciesandTourOperators
